,ASIN,product,brand,name,date,score,title,comment
0,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,ad2003,2018年9月1日,5.0,味、香りが良いけど中国産なのが×,カフェインフリーのアールグレイ紅茶を色々試した中で、トワイニングが一番香りが良く美味しいです。
1,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,購入者,2020年5月18日,5.0,原産国,美味しいからずっとリピートしてます。原産地は中国ってだけで一つ星評価をしている方もいるようですね。初めて購入した時はそのコメントを見て動揺しましたが、信じないで購入してよかったです。今回は4回目になりますが、ノンカフェインでこのおいしさ、とても満足しています。これからもよろしくお願いします。
2,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,cda,2018年12月29日,5.0,美味しく良いアールグレイの香り,カフェインレス紅茶が初めてなので、「味が変だったりしないかなぁ…」と不安に思いながらも購入しました結果は妊婦さんにも好評で、一番のお気に入りになっています味も香りもカフェインありな紅茶と変わりません飲みきったら再度購入しようと思ってます
3,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,いわさきまい,2020年12月7日,3.0,美味しい,レモンティーとも違う柑橘系の香り…。ウ～ン…おしゃれな香りなのか？なんか無理に香料を足したような…。普通のミルクティーが好きな私にはあまり好みではありませんでした。慣れると好きになるかも…。とは思うけど。
4,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,くろさわ,2018年6月1日,4.0,妊婦さんと一緒に飲んでいます,カフェインが体質に合わないので購入。香りも悪くなく変なクセもないと思います。ただ、味や色が薄めなのが気になります。渋みも少ないのでミルクティーにする場合は蓋やラップ等をして蒸らすと良い感じですね。
5,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,MOMTT,2021年6月21日,4.0,柑橘系の香りがオシャレな感じだけど…。,いわゆる普通の紅茶みたいな感じです。カフェインレスなのでカフェインを取りたくない人には夜普通に飲めるのでアドです
6,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,Amazon5_3500X,2020年10月25日,5.0,ミルクティーにすると薄いかも…,産前産後に買って飲んでました。美味しかったです！今は飲んでませんが、普通に美味しいのでまた機会があれば買って飲みたいです！
7,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,名無し,2018年10月11日,4.0,普通の紅茶,カフェインレスの紅茶をネットで散々調べて、こちらを購入してみました。味も香りもアールグレイです。お砂糖なしでも十分だし、結構濃く出るのでミルクティーにしても良いと思います。金額的にも手頃だし、カフェインレスっていう感じがあまりしないので、（普段、高級な茶葉を買っている人には不向きかもしれませんが）一般人には十分美味しい紅茶だと思います。
8,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,Saya☆,2020年12月15日,5.0,高いけど、香り◎,カフェインレス、夕食後に、、、飲んでイマス。。。落ち着いた時間が、流れます🎵
9,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,もりりん,2021年5月6日,3.0,ノンカフェインだから夜でも飲めます,ノンカフェインにしては、美味しい。飲みやすい。
10,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,トコ,2020年11月9日,4.0,美味しい(^ ^),寝る前にもカフェインを気にせず飲めるのがいいです。ノンカフェインの種類が増えたらいいのにと思います。ちょっとお高いから－１
11,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,もこ,2020年7月6日,5.0,薄いアールグレー,リピーターです。ノンカフェインであり、健康的なので友人にも時々あげます。もう少し安いともっと嬉しいです。
12,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,大阪のおかん,2021年1月28日,4.0,ノンカフェイン,紅茶好きです夜勤中飲んでますカフェインレスですが味は問題なくアールグレイ美味しいですトワイニングはやっぱり美味しい
13,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,Asa,2021年3月4日,1.0,リピーターです,ダンボールに梱包されており、開けると写真のようにつまみの部分が開封されかけていました。誰かの飲みかけでしょうか…？管理が酷くて思わず笑ってしまいました。市販で店頭にあったら買わないです。（中身は無事でした）
14,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,Aoi,2018年10月13日,5.0,美味しい,バカ舌なのか普通の紅茶との違いがわかりません。アールグレイの香りがします。
15,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,Sao,2019年9月10日,5.0,箱が開封しかけだった,朝9時まではカフェインはとらない方が良いというので朝だけこちらを飲んでます。少し香りが弱い感じですが体に良いのが一番なので。家族は誰も気付いていません。
16,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,Amazon カスタマー,2020年3月7日,5.0,美味しい,あっさりしていて飲みやすいです。授乳中でもそうでなくても満足できる味です。どんなおやつにでも合うと思います。
17,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,まも,2020年10月22日,3.0,色々試した中で1番美味しい,コスパは非常に良いと思うので、量を多く紅茶を飲まれる方にはお勧めしたいです。しかし味を求めている人にはあまりお勧めはできないです。個人的には嫌いな味ではないがすごくおいしいとはいいがたいですが、ほかの味もあるので試してみたいとは思いました。
18,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,Amazon カスタマー,2019年4月10日,5.0,あっさりしていて上品な味,安いデカフェのアールグレイも飲んでますが、やっぱり、こちらの方が香りが良かったので、リピです。
19,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,大西雄介,2019年12月16日,5.0,コスパ良し,カフェインレスということで、夕食後に飲みたくて、購入しています。ゆっくりしたいときにおすすめ
20,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,sou,2019年6月20日,5.0,香りが良い,カフェインレスはあまり数多く販売されてないので、いつもこちらを購入します。
21,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,匿名希望,2018年12月14日,5.0,カフェィンレス,ノンカフェインなのに美味しい。香りが良い。普通のアールグレイより優しい味。
22,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,nora,2019年7月24日,5.0,普通のアールグレイと同じに飲めます,以前は某有名海外デカフェ紅茶を飲んでいましたが、試しに購入してみました。香りもよいし味も悪くない。コレはこれでありです。値段もリーズナブルですし。
23,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,グルメ主婦,2019年1月5日,5.0,美味なカフェインレス,授乳中のため、カフェインレスの紅茶を探していて見つけました。ふわっとアールグレイのいい香り。一日一杯リラックスしています。
24,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,ベップ,2020年1月29日,3.0,美味しい,おいしいですが、完全にレモンティーの味です。確かにベルガモットの柑橘つながりですが、レモンの味なら最初からそう書いてほしかった。おいしいことはおいしいですが、説明違いです。
25,B01C28Z16U,トワイニング カフェインレス アールグレイ 20P ティーバッグ,トワイニング,Amazonカスタマー,2021年1月23日,2.0,インフル対策にノンカフェインで子供にも,商品そのものはよかったものの、届いた箱がぺしゃんこでした。幸い中のティーバックは破れたりしていませんでしたが、せっかく購入したのに残念です。
